# x_m,y_m
-114.750152,379.860294
-110.255816,381.761491
-105.724067,383.359471
-101.149822,384.597674
-96.527999,385.419541
-91.853516,385.768510
-87.121534,385.588470
-82.345384,384.856749
-77.568856,383.606740
-72.838652,381.877189
-68.201470,379.706844
-63.704012,377.134450
-59.392977,374.198754
-55.315065,370.938503
-51.516976,367.392442
-48.045156,363.599222
-44.928614,359.590890
-42.168061,355.388776
-39.761614,351.013227
-37.707391,346.484593
-36.003510,341.823222
-34.648091,337.049462
-33.639251,332.183661
-32.975107,327.246168
-32.653897,322.257459
-32.681411,317.246186
-33.075444,312.253989
-33.854860,307.323666
-35.038521,302.498014
-36.644939,297.819670
-38.671230,293.321475
-41.081148,289.020997
-43.835552,284.934481
-46.895339,281.077888
-50.223478,277.450924
-53.786112,274.028440
-57.549652,270.783188
-61.480506,267.687921
-65.545086,264.715392
-69.709800,261.838353
-73.941059,259.029556
-78.205273,256.261754
-82.468852,253.507699
-86.698503,250.740369
-90.877129,247.944977
-95.011850,245.125032
-99.111767,242.285540
-103.185981,239.431508
-107.243594,236.567942
-111.293706,233.699849
-115.345420,230.832234
-119.407835,227.970105
-123.489924,225.118372
-127.593681,222.276866
-131.710743,219.437874
-135.831908,216.593073
-139.947975,213.734140
-144.049742,210.852749
-148.128007,207.940578
-152.173569,204.989303
-156.177226,201.990600
-160.129776,198.936146
-164.022017,195.817616
-167.844748,192.626687
-171.588768,189.355035
-175.244874,185.994336
-178.803864,182.536268
-182.256537,178.972505
-185.593692,175.294724
-188.806126,171.494602
-191.884657,167.563978
-194.820997,163.502059
-197.608092,159.318272
-200.238982,155.022794
-202.706706,150.625804
-205.004303,146.137480
-207.124811,141.567998
-209.061270,136.927538
-210.806719,132.226278
-212.354196,127.474395
-213.697007,122.681999
-214.839835,117.856311
-215.802764,113.000643
-216.606974,108.118025
-217.273641,103.211489
-217.823946,98.284069
-218.279067,93.338795
-218.660183,88.378700
-218.988472,83.406816
-219.284865,78.426154
-219.559961,73.438828
-219.810531,68.445753
-220.032378,63.447761
-220.221308,58.445684
-220.373124,53.440353
-220.483629,48.432598
-220.548629,43.423253
-220.563927,38.413148
-220.525564,33.403105
-220.439319,28.393566
-220.323907,23.384468
-220.198941,18.375713
-220.084034,13.367202
-219.998796,8.358836
-219.962841,3.350518
-219.995780,-1.657852
-220.117226,-6.666371
-220.346615,-11.675077
-220.696331,-16.681543
-221.169446,-21.680085
-221.768397,-26.664801
-222.495620,-31.629786
-223.353550,-36.569137
-224.344624,-41.476947
-225.471276,-46.347315
-226.735945,-51.174335
-228.141064,-55.952103
-229.689070,-60.674715
-231.382400,-65.336267
-233.223488,-69.930855
-235.214771,-74.452575
-237.358686,-78.895521
-239.657666,-83.253791
-242.114150,-87.521480
-244.730572,-91.692684
-247.509368,-95.761499
-250.452828,-99.722127
-253.557964,-103.572639
-256.815170,-107.315954
-260.214419,-110.955298
-263.745686,-114.493896
-267.398945,-117.934976
-271.164171,-121.281763
-275.031338,-124.537484
-278.990419,-127.705365
-283.031390,-130.788632
-287.144224,-133.790511
-291.318896,-136.714228
-295.545380,-139.563010
-299.813650,-142.340083
-304.113681,-145.048673
-308.435446,-147.692006
-312.768921,-150.273309
-317.104079,-152.795807
-321.431140,-155.262670
-325.748802,-157.675099
-330.066191,-160.031874
-334.393070,-162.331627
-338.739206,-164.572990
-343.114362,-166.754595
-347.528305,-168.875074
-351.990798,-170.933058
-356.511608,-172.927180
-361.100499,-174.856071
-365.766965,-176.718015
-370.511356,-178.499535
-375.322879,-180.172828
-380.190067,-181.709220
-385.101452,-183.080040
-390.045569,-184.256617
-395.010950,-185.210279
-399.986127,-185.912354
-404.959635,-186.334170
-409.919932,-186.447547
-414.853509,-186.237477
-419.744719,-185.703274
-424.577803,-184.844971
-429.337006,-183.662602
-434.006571,-182.156201
-438.570742,-180.325801
-443.013762,-178.171435
-447.319874,-175.693138
-451.473138,-172.891388
-455.452831,-169.778175
-459.233144,-166.377740
-462.788019,-162.714922
-466.091398,-158.814560
-469.117224,-154.701490
-471.839441,-150.400552
-474.231989,-145.936583
-476.268812,-141.334422
-477.924533,-136.618846
-479.190493,-131.813167
-480.075372,-126.939173
-480.588654,-122.018581
-480.739823,-117.073111
-480.538363,-112.124481
-479.993757,-107.194407
-479.115490,-102.304609
-477.913045,-97.476805
-476.395906,-92.732711
-474.573557,-88.094048
-472.455483,-83.582532
-470.051166,-79.219882
-467.370091,-75.027815
-464.421742,-71.028050
-461.215602,-67.242306
-457.761155,-63.692299
-454.067886,-60.399748
-450.145278,-57.386371
-446.003357,-54.672358
-441.664576,-52.242857
-437.163794,-50.048044
-432.536404,-48.036581
-427.817801,-46.157126
-423.043381,-44.358341
-418.248537,-42.588885
-413.468665,-40.797419
-408.739159,-38.932603
-404.095414,-36.943098
-399.572099,-34.778912
-395.189852,-32.416144
-390.956600,-29.854518
-386.879814,-27.094614
-382.966964,-24.137008
-379.225519,-20.982280
-375.662950,-17.631008
-372.286727,-14.083769
-369.104319,-10.341142
-366.122453,-6.404383
-363.333994,-2.287395
-360.719540,1.984731
-358.259266,6.386514
-355.933346,10.892477
-353.721956,15.477141
-351.605270,20.115026
-349.563463,24.780654
-347.576711,29.448545
-345.625187,34.093222
-343.689571,38.690388
-341.759757,43.237381
-339.833703,47.750469
-337.909639,52.246559
-335.985795,56.742558
-334.060401,61.255371
-332.131687,65.801906
-330.197883,70.399068
-328.257219,75.063766
-326.310746,79.812067
-324.410529,84.644914
-322.652948,89.550105
-321.135861,94.515002
-319.957124,99.526964
-319.213904,104.570995
-318.991068,109.589976
-319.362873,114.490472
-320.403231,119.177857
-322.180810,123.558884
-324.675204,127.563715
-327.791552,131.142075
-331.432711,134.244291
-335.501533,136.820692
-339.900871,138.821603
-344.533581,140.197353
-349.302515,140.898269
-354.110527,140.874677
-358.863587,140.083437
-363.514822,138.580262
-368.053935,136.497539
-372.471585,133.969661
-376.758434,131.131021
-380.906785,128.112329
-384.933309,124.989729
-388.873309,121.797637
-392.762557,118.569413
-396.636828,115.338416
-400.530403,112.136639
-404.455556,108.975954
-408.407803,105.852906
-412.382237,102.763657
-416.373951,99.704366
-420.378040,96.671195
-424.389597,93.660303
-428.403717,90.667852
-432.415491,87.690001
-436.420241,84.722995
-440.416579,81.764278
-444.405606,78.812207
-448.388489,75.865159
-452.366390,72.921513
-456.340474,69.979647
-460.311905,67.037939
-464.281848,64.094767
-468.251467,61.148509
-472.221926,58.197543
-476.194389,55.240248
-480.170021,52.275001
-484.149985,49.300182
-488.135447,46.314167
-492.127570,43.315334
-496.127519,40.302063
-500.136458,37.272732
-504.155550,34.225717
-508.185451,31.159251
-512.219530,28.069473
-516.245726,24.950958
-520.251847,21.798249
-524.225702,18.605884
-528.155099,15.368403
-532.027847,12.080347
-535.831755,8.736256
-539.554630,5.330669
-543.184282,1.858127
-546.708518,-1.686831
-550.115148,-5.309663
-553.391980,-9.015831
-556.526823,-12.810794
-559.507484,-16.700012
-562.321773,-20.688945
-564.957498,-24.783054
-567.402468,-28.987797
-569.644491,-33.308635
-571.672008,-37.750307
-573.481739,-42.308095
-575.076226,-46.970635
-576.458133,-51.726426
-577.630122,-56.563966
-578.594856,-61.471752
-579.354998,-66.438282
-579.913210,-71.452056
-580.272156,-76.501570
-580.434498,-81.575323
-580.402900,-86.661813
-580.180023,-91.749537
-579.768531,-96.826995
-579.171087,-101.882683
-578.390353,-106.905100
-577.428993,-111.882744
-576.289669,-116.804114
-574.975044,-121.657706
-573.488050,-126.432711
-571.834990,-131.126974
-570.024466,-135.744241
-568.065122,-140.288370
-565.965603,-144.763220
-563.734554,-149.172649
-561.380619,-153.520515
-558.912444,-157.810677
-556.338673,-162.046994
-553.667952,-166.233323
-550.908924,-170.373523
-548.070235,-174.471453
-545.160530,-178.530970
-542.188453,-182.555933
-539.162650,-186.550202
-536.091765,-190.517633
-532.984443,-194.462085
-529.849329,-198.387418
-526.695068,-202.297489
-523.529913,-206.195995
-520.357374,-210.084684
-517.177797,-213.964001
-513.991469,-217.834369
-510.798679,-221.696210
-507.599716,-225.549945
-504.394868,-229.395997
-501.184422,-233.234789
-497.968669,-237.066742
-494.747895,-240.892279
-491.522389,-244.711822
-488.292440,-248.525794
-485.058336,-252.334616
-481.820366,-256.138710
-478.578817,-259.938500
-475.333978,-263.734406
-472.086138,-267.526852
-468.835584,-271.316260
-465.582600,-275.103042
-462.327399,-278.887508
-459.070152,-282.669899
-455.811028,-286.450455
-452.550197,-290.229419
-449.287828,-294.007030
-446.024093,-297.783530
-442.759159,-301.559158
-439.493197,-305.334157
-436.226377,-309.108767
-432.958868,-312.883229
-429.690841,-316.657783
-426.422463,-320.432671
-423.153907,-324.208133
-419.885340,-327.984410
-416.616934,-331.761743
-413.348856,-335.540372
-410.081278,-339.320539
-406.814369,-343.102485
-403.548299,-346.886449
-400.283237,-350.672674
-397.019353,-354.461400
-393.756817,-358.252867
-390.495799,-362.047317
-387.236467,-365.844990
-383.978993,-369.646127
-380.723545,-373.450969
-377.470294,-377.259757
-374.219408,-381.072732
-370.971059,-384.890134
-367.725414,-388.712204
-364.482645,-392.539184
-361.242921,-396.371313
-358.006411,-400.208834
-354.773286,-404.051985
-351.543715,-407.901010
-348.317867,-411.756147
-345.092175,-415.612489
-341.821985,-419.408509
-338.437210,-423.047639
-334.867389,-426.432793
-331.042059,-429.466882
-326.898429,-432.055491
-322.453089,-434.131870
-317.769549,-435.645620
-312.911928,-436.546554
-307.944345,-436.784484
-302.932311,-436.316062
-297.954903,-435.164555
-293.098845,-433.390776
-288.450946,-431.055963
-284.098016,-428.221352
-280.126865,-424.948180
-276.624302,-421.297684
-273.677136,-417.331101
-271.372178,-413.109668
-269.785404,-408.692530
-268.896358,-404.120217
-268.634000,-399.423494
-268.926844,-394.633039
-269.703404,-389.779531
-270.892192,-384.893649
-272.421724,-380.006071
-274.220512,-375.147476
-276.217070,-370.348543
-278.340525,-365.635950
-280.525153,-361.002760
-282.707808,-356.425218
-284.825364,-351.879446
-286.814691,-347.341565
-288.612664,-342.787696
-290.156153,-338.193959
-291.382033,-333.536477
-292.227176,-328.791369
-292.634735,-323.939547
-292.599910,-319.001595
-292.143621,-314.017710
-291.286972,-309.028226
-290.051067,-304.073478
-288.457009,-299.193801
-286.525902,-294.429529
-284.278849,-289.820998
-281.736953,-285.408541
-278.921320,-281.232494
-275.852536,-277.328763
-272.547126,-273.698324
-269.019687,-270.325593
-265.284806,-267.194886
-261.357067,-264.290520
-257.251058,-261.596811
-252.981362,-259.098075
-248.562567,-256.778629
-244.009258,-254.622789
-239.338029,-252.612219
-234.580982,-250.708113
-229.777437,-248.862135
-224.966755,-247.025893
-220.188296,-245.151000
-215.481420,-243.189065
-210.885488,-241.091698
-206.439859,-238.810511
-202.183895,-236.297113
-198.152364,-233.509283
-194.344932,-230.451940
-190.745074,-227.151753
-187.336175,-223.635509
-184.101621,-219.929995
-181.024798,-216.061996
-178.089093,-212.058300
-175.277890,-207.945693
-172.574576,-203.750962
-169.963422,-199.498919
-167.435287,-195.199706
-164.983992,-190.856861
-162.603375,-186.473886
-160.287272,-182.054287
-158.029520,-177.601567
-155.823956,-173.119231
-153.664417,-168.610783
-151.544741,-164.079727
-149.458763,-159.529568
-147.400320,-154.963809
-145.363251,-150.385955
-143.341391,-145.799511
-141.328577,-141.207980
-139.318647,-136.614866
-137.305437,-132.023675
-135.282784,-127.437909
-133.244526,-122.861074
-131.184498,-118.296673
-129.097232,-113.747813
-126.982323,-109.214686
-124.841608,-104.696200
-122.676934,-100.191252
-120.490151,-95.698743
-118.283104,-91.217572
-116.057643,-86.746638
-113.815615,-82.284840
-111.558868,-77.831079
-109.289250,-73.384252
-107.008607,-68.943261
-104.718790,-64.507003
-102.421644,-60.074379
-100.119018,-55.644287
-97.812759,-51.215628
-95.504716,-46.787300
-93.196736,-42.358203
-90.890667,-37.927236
-88.588225,-33.493387
-86.290187,-29.056276
-83.996918,-24.615797
-81.708782,-20.171846
-79.426143,-15.724320
-77.149365,-11.273116
-74.878811,-6.818128
-72.614846,-2.359255
-70.357834,2.103609
-68.108138,6.570567
-65.866122,11.041723
-63.632151,15.517180
-61.406589,19.997042
-59.189798,24.481413
-56.982144,28.970398
-54.783990,33.464098
-52.595700,37.962619
-50.417638,42.466064
-48.250167,46.974537
-46.093653,51.488142
-43.948458,56.006982
-41.814947,60.531161
-39.693484,65.060783
-37.584432,69.595951
-35.488156,74.136770
-33.405019,78.683343
-31.335385,83.235774
-29.279619,87.794167
-27.238083,92.358625
-25.211143,96.929253
-23.199162,101.506153
-21.202504,106.089430
-19.221533,110.679188
-17.256612,115.275530
-15.308107,119.878560
-13.376380,124.488382
-11.461795,129.105100
-9.564655,133.728792
-7.684824,138.359371
-5.821987,142.996675
-3.975824,147.640546
-2.146020,152.290822
-0.332255,156.947344
1.465788,161.609950
3.248426,166.278481
5.015978,170.952777
6.768761,175.632678
8.507093,180.318022
10.231292,185.008650
11.941676,189.704401
13.638561,194.405116
15.322267,199.110634
16.993110,203.820795
18.651409,208.535438
20.297481,213.254403
21.931645,217.977531
23.554217,222.704660
25.165515,227.435631
26.765858,232.170282
28.355564,236.908455
29.934948,241.649989
31.504331,246.394723
33.064029,251.142497
34.614360,255.893151
36.155641,260.646525
37.688192,265.402458
39.212329,270.160790
40.728369,274.921362
42.236632,279.684012
43.737435,284.448580
45.231095,289.214906
46.717930,293.982831
48.198258,298.752193
49.672396,303.522832
51.140676,308.294612
52.603508,313.067546
54.061340,317.841712
55.514617,322.617188
56.963785,327.394050
58.409291,332.172376
59.851581,336.952244
61.291100,341.733731
62.728295,346.516914
64.163612,351.301870
65.597497,356.088677
67.030396,360.877413
68.462756,365.668154
69.895022,370.460978
71.327640,375.255962
72.761057,380.053184
74.195719,384.852722
75.632072,389.654651
77.070561,394.459050
78.512125,399.265710
79.960914,404.072541
81.422373,408.876700
82.901951,413.675339
84.405095,418.465613
85.937256,423.244673
87.503880,428.009675
89.110417,432.757771
90.762316,437.486115
92.465023,442.191859
94.223989,446.872158
96.044662,451.524165
97.932489,456.145033
99.892920,460.731916
101.931403,465.281967
104.053386,469.792339
106.264318,474.260186
108.569648,478.682661
110.979551,483.049983
113.534350,487.308155
116.286208,491.385813
119.287316,495.211551
122.589865,498.713962
126.235672,501.833945
130.202297,504.588591
134.442735,507.024122
138.909930,509.186822
143.556827,511.122972
148.339061,512.871867
153.228657,514.430231
158.203814,515.778751
163.242744,516.898084
168.323656,517.768888
173.424762,518.371823
178.524272,518.687546
183.600397,518.696714
188.631347,518.379988
193.596382,517.721592
198.481049,516.727125
203.273221,515.410098
207.960778,513.784037
212.531597,511.862469
216.973556,509.658918
221.274535,507.186911
225.422410,504.459974
229.405061,501.491632
233.210366,498.295412
236.826202,494.884838
240.240448,491.273438
243.440983,487.474736
246.415684,483.502259
249.152430,479.369532
251.639100,475.090081
253.863570,470.677432
255.813720,466.145111
257.479599,461.506564
258.863338,456.774801
259.971251,451.962679
260.809655,447.083053
261.384867,442.148781
261.703205,437.172720
261.770986,432.167725
261.594526,427.146655
261.180144,422.122365
260.534156,417.107712
259.662880,412.115554
258.572632,407.158745
257.269731,402.250145
255.760493,397.402608
254.051235,392.628993
252.148275,387.942154
250.057930,383.354950
247.786517,378.880238
245.340353,374.530872
242.726152,370.317092
239.952692,366.235479
237.029422,362.278184
233.965790,358.437353
230.771247,354.705134
227.455240,351.073673
224.027220,347.535118
220.496635,344.081615
216.872934,340.705311
213.165567,337.398354
209.383983,334.152891
205.537631,330.961068
201.635959,327.815033
197.688417,324.706932
193.704455,321.628913
189.693520,318.573123
185.665064,315.531708
181.628533,312.496816
177.592699,309.461120
173.562869,306.419978
169.543254,303.369595
165.538065,300.306180
161.551511,297.225941
157.587803,294.125086
153.651151,290.999821
149.745765,287.846356
145.875855,284.660897
142.045632,281.439653
138.259305,278.178831
134.521084,274.874639
130.835180,271.523285
127.205803,268.120977
123.637163,264.663922
120.133471,261.148328
116.698935,257.570403
113.337767,253.926354
110.054176,250.212390
106.851626,246.425623
103.729844,242.567679
100.687394,238.641596
97.722843,234.650406
94.834753,230.597147
92.021690,226.484853
89.282218,222.316560
86.614902,218.095303
84.018306,213.824117
81.490994,209.506037
79.031532,205.144100
76.638483,200.741340
74.310412,196.300792
72.045884,191.825492
69.843463,187.318476
67.701714,182.782778
65.619200,178.221435
63.594488,173.637480
61.625793,169.033720
59.709644,164.411845
57.842056,159.773202
56.019043,155.119142
54.236619,150.451014
52.490800,145.770166
50.777598,141.077949
49.093030,136.375711
47.433109,131.664801
45.793849,126.946570
44.171266,122.222365
42.561373,117.493537
40.960185,112.761434
39.363717,108.027406
37.767983,103.292802
36.168998,98.558971
34.562775,93.827262
32.945330,89.099026
31.312676,84.375610
29.661468,79.658160
27.991416,74.946841
26.303143,70.241527
24.597272,65.542090
22.874427,60.848406
21.135231,56.160345
19.380308,51.477784
17.610280,46.800593
15.825772,42.128647
14.027407,37.461820
12.215809,32.799984
10.391600,28.143013
8.555404,23.490781
6.707844,18.843160
4.849544,14.200024
2.981128,9.561246
1.103218,4.926700
