# x_m,y_m
90.700695,443.078929
93.321692,447.223620
96.195707,451.203359
99.325578,454.999793
102.697799,458.594358
106.298502,461.968485
110.113818,465.103608
114.129878,467.981159
118.332815,470.582569
122.708759,472.889270
127.243843,474.882696
131.923812,476.545647
136.729604,477.878012
141.638890,478.891282
146.629282,479.597170
151.678388,480.007386
156.763819,480.133644
161.863185,479.987656
166.954096,479.581132
172.014161,478.925785
177.021211,478.032547
181.955657,476.903190
186.799583,475.533545
191.535105,473.919342
196.144335,472.056309
200.609388,469.940177
204.912378,467.566674
209.035419,464.931531
212.960625,462.030476
216.670921,458.860456
220.158211,455.431867
223.419966,451.763452
226.453744,447.874081
229.257103,443.782622
231.827599,439.507947
234.162790,435.068923
236.260233,430.484421
238.117484,425.773310
239.732102,420.954459
241.101643,416.046738
242.223665,411.069016
243.095725,406.040163
243.715379,400.979048
244.080185,395.904541
244.187701,390.835511
244.035483,385.790827
243.621088,380.789360
242.942075,375.849978
241.996922,370.990344
240.793008,366.216484
239.342691,361.527916
237.658380,356.924085
235.752486,352.404437
233.637420,347.968419
231.325594,343.615477
228.829417,339.345055
226.161300,335.156601
223.333654,331.049560
220.358891,327.023379
217.249420,323.077502
214.017653,319.211377
210.676000,315.424449
207.236872,311.716164
203.712679,308.085968
200.115833,304.533307
196.458745,301.057627
192.753160,297.657974
189.005058,294.329920
185.217452,291.067251
181.393334,287.863740
177.535695,284.713160
173.647526,281.609283
169.731816,278.545881
165.791557,275.516726
161.829739,272.515591
157.849353,269.536248
153.853390,266.572470
149.844841,263.618029
145.826696,260.666697
141.801946,257.712246
137.773581,254.748450
133.744592,251.769080
129.717971,248.767909
125.696707,245.738708
121.683792,242.675252
117.683903,239.570810
113.715248,236.414635
109.802541,233.194050
105.970535,229.896362
102.243985,226.508880
98.647645,223.018913
95.206269,219.413771
91.944612,215.680761
88.887428,211.807193
86.055258,207.782880
83.436543,203.616723
81.004942,199.326411
78.734036,194.929680
76.597407,190.444265
74.568637,185.887900
72.621307,181.278322
70.728999,176.633267
68.865295,171.970468
67.007305,167.305285
65.149567,162.641332
63.291986,157.978608
61.434469,153.317112
59.576925,148.656841
57.719260,143.997792
55.861381,139.339964
54.003196,134.683354
52.144613,130.027960
50.285538,125.373780
48.425878,120.720810
46.565542,116.069050
44.704436,111.418497
42.842468,106.769148
40.979545,102.121001
39.115574,97.474054
37.250463,92.828305
35.384118,88.183752
33.516448,83.540391
31.647360,78.898221
29.776760,74.257240
27.904556,69.617445
26.030656,64.978834
24.154966,60.341405
22.277395,55.705156
20.397849,51.070083
18.516235,46.436186
16.632462,41.803461
14.746435,37.171906
12.858064,32.541520
10.967254,27.912299
9.073913,23.284242
7.177949,18.657346
5.279269,14.031609
3.377779,9.407029
1.473388,4.783603
